nn(色彩-2, 屏幕-1)
nsubj(准确-4, 色彩-2)
mmod(准确-4, 还原-3)
root(ROOT-0, 准确-4)
dep(准确-4, 让-6)
dobj(让-6, 人-7)
dep(舒服-11, 看-8)
dep(舒服-11, 得-9)
advmod(舒服-11, 很-10)
dep(让-6, 舒服-11)
advmod(有着-18, 当然-13)
nsubj(有着-18, 这-14)
case(技术-17, 与-15)
nn(技术-17, incell-16)
prep(有着-18, 技术-17)
conj(准确-4, 有着-18)
assmod(关系-21, 密切-19)
case(密切-19, 的-20)
dobj(有着-18, 关系-21)

nsubj(带来-3, 屏幕-1)
advmod(带来-3, 大-2)
dep(高-6, 带来-3)
dobj(带来-3, 耗电量-4)
advmod(高-6, 较-5)
root(ROOT-0, 高-6)
nn(时间-9, 待机-8)
nsubj(长-11, 时间-9)
neg(长-11, 不-10)
dep(高-6, 长-11)

nn(系统-2, 操作-1)
nsubj(是-3, 系统-2)
root(ROOT-0, 是-3)
dep(是-3, 英文-4)
case(英文-4, 的-5)
dep(是-3, 弄-7)
asp(弄-7, 了-8)
nummod(天-10, 几-9)
dep(弄-7, 天-10)
advmod(过来-16, 才-11)
ba(过来-16, 把-12)
nsubj(过来-16, 菜单-13)
advmod(过来-16, 全部-14)
mmod(过来-16, 翻译-15)
dep(天-10, 过来-16)
case(是-19, 因为-18)
prep(上市-26, 是-19)
dep(是-19, 欧版-20)
case(欧版-20, 的-21)
dep(上市-26, 目前-23)
advmod(上市-26, 还-24)
neg(上市-26, 没有-25)
conj(是-3, 上市-26)
advmod(顺手-35, 所以-28)
case(起来-30, 用-29)
prep(顺手-35, 起来-30)
neg(顺手-35, 不-31)
cop(顺手-35, 是-32)
dvpmod(顺手-35, 那么-33)
mark(那么-33, 的-34)
conj(是-3, 顺手-35)

nsubj(有-5, 4S-1)
case(方面-4, 在-2)
nn(方面-4, 性能-3)
prep(有-5, 方面-4)
root(ROOT-0, 有-5)
asp(有-5, 了-6)
assmod(提升-9, 一定-7)
case(一定-7, 的-8)
dobj(有-5, 提升-9)
nn(提升-15, 其中-11)
conj(提升-15, CPU-12)
cc(提升-15, 与-13)
nn(提升-15, GPU-14)
nsubj(带来-19, 提升-15)
case(4S-18, 为-16)
dep(4S-18, iPhone-17)
prep(带来-19, 4S-18)
conj(有-5, 带来-19)
asp(带来-19, 了-20)
assmod(飞跃-24, 速度-21)
case(速度-21, 上-22)
case(速度-21, 的-23)
dobj(带来-19, 飞跃-24)

case(没有-2, 因为-1)
prep(有-7, 没有-2)
nn(按键-4, 自拍-3)
dobj(没有-2, 按键-4)
advmod(有-7, 确实-6)
root(ROOT-0, 有-7)
nsubj(方便-10, 点-8)
neg(方便-10, 不-9)
dep(有-7, 方便-10)

nsubj(给力-3, 电池-1)
neg(给力-3, 不-2)
root(ROOT-0, 给力-3)
nsubj(导致-9, 原因-5)
cop(导致-9, 是-6)
