advmod(接-2, 有时-1)
root(ROOT-0, 接-2)
dobj(接-2, 电话-3)
conj(接-2, 会-4)
dobj(会-4, 黑屏-5)
dep(接-2, 貌似-7)
cop(挡-13, 是-8)
nsubj(挡-13, 贴膜-9)
ba(挡-13, 把-10)
nn(感应器-12, 距离-11)
nsubj(挡-13, 感应器-12)
ccomp(貌似-7, 挡-13)
rcomp(挡-13, 到-14)
asp(挡-13, 了-15)
mmod(试-18, 可以-17)
dep(接-2, 试-18)
asp(试-18, 着-19)
dep(试-18, 把-20)
ccomp(试-18, 膜切-21)
asp(膜切-21, 了-22)

dep(出现-10, 用-1)
dep(年-4, 个-2)
nummod(年-4, 一-3)
range(用-1, 年-4)
conj(用-1, 多-5)
dep(用-1, 了-6)
dep(出现-10, 最近-8)
advmod(出现-10, 老是-9)
root(ROOT-0, 出现-10)
nn(现象-12, 花屏-11)
dobj(出现-10, 现象-12)
loc(知道-19, 上网-14)
rcomp(上网-14, 查-15)
asp(上网-14, 了-16)
case(上网-14, 下-17)
advmod(知道-19, 才-18)
dep(出现-10, 知道-19)
cop(问题-22, 是-20)
nn(问题-22, 硬件-21)
ccomp(知道-19, 问题-22)
conj(问题-22, 貌似-24)
nsubj(出现-30, 温度-25)
advmod(出现-30, 太-26)
dep(出现-30, 低-27)
asp(出现-30, 了-28)
advmod(出现-30, 容易-29)
ccomp(貌似-24, 出现-30)
dobj(出现-30, 花屏-31)
tmod(用-36, 冬天-33)
advmod(用-36, 还-34)
advmod(用-36, 咋-35)
conj(出现-30, 用-36)
dep(知道-19, 啊-37)

advmod(氧化-4, 为什么-1)
nsubj(氧化-4, 后壳-2)
mmod(氧化-4, 会-3)
root(ROOT-0, 氧化-4)
advmod(到-9, 刚-6)
mmod(到-9, 买-7)
neg(到-9, 不-8)
loc(有-17, 到-9)
nummod(个-11, 三-10)
clf(月-12, 个-11)
dobj(到-9, 月-12)
case(到-9, 后-13)
nn(局部-15, 壳-14)
nsubj(有-17, 局部-15)
advmod(有-17, 就-16)
conj(氧化-4, 有-17)
amod(点-19, 小-18)
dobj(有-17, 点-19)
nsubj(查-22, 网上-21)
conj(氧化-4, 查-22)
asp(查-22, 了-23)
advmod(知道-25, 才-24)
relcl(材料-29, 知道-25)
cop(什么-27, 是-26)
ccomp(知道-25, 什么-27)
amod(材料-29, 新-28)
dobj(查-22, 材料-29)
