Oscars 2017 Red carpet designers	Image URL	ACTRESSES (FYI only)		
Alexander McQueen	https://www.bing.com/images/search?q=oscars+%22red+carpet%22+jessica+chastain+2012+&view=detailv2&qft=+filterui%3aaspect-wide&id=8896137090B3F9A4C7957F691330A3203E1D0672&selectedIndex=8&ccid=iTUnMzRV&simid=607996130086553806&thid=OIP.M8935273334559558a2bbb3440d86c51bo0	Jessica Chastain 2012		
Alexandre Vauthier	https://www.bing.com/images/search?q=oscars+%22red+carpet%22+alexandre+vauthier&view=detailv2&qft=+filterui%3aaspect-wide&id=F61689D10816FBFFFD8DF562FB447F8611BD59C9&selectedIndex=31&ccid=h8Dzo54G&simid=607987595975200766&thid=OIP.M87c0f3a39e06465275910b79a27624c1o0	Taylor Swift 2016		
Armani Prive	https://www.bing.com/images/search?q=Oscars+%22red+carpet%22+Armani+Prive&view=detailv2&qft=+filterui%3aaspect-wide&id=1D60767C0FB08029A65523DBEBCF046C42035889&selectedIndex=4&ccid=WvgeD7Z8&simid=608006193188700379&thid=OIP.M5af81e0fb67c8aca8d9449e0143e8022H0	"Naomi Watts, 2013"		
August Getty	https://www.bing.com/images/search?q=oscars+%22august+getty%22&view=detailv2&qft=+filterui%3aaspect-wide&id=20AECB980B2EAE45DB504CEE7FB6C17E0BCFC2ED&selectedIndex=11&ccid=YLRamqek&simid=607992500828833187&thid=OIP.M60b45a9aa7a4ffbebb34cf75039bd596o0	Rachel McAdams 2016		
Azzedine Alaia	https://www.bing.com/images/search?q=Azzedine+Alaia+oscars+red+carpet&view=detailv2&qft=+filterui%3aaspect-wide&id=BEAB49AC8E491A43B976E8524EF74BBABA112FA1&selectedIndex=12&ccid=2z8RWIoN&simid=608026937880874792&thid=OIP.Mdb3f11588a0dbd7396bf88fbce967be6o0	Lady Gaga 2015		
Balenciaga	https://www.bing.com/images/search?q=oscars+red+carpet+balenciaga&view=detailv2&qft=+filterui%3aaspect-wide&id=F9FA73C66BA0EC9CEFAE6751648236BE75420EB4&selectedIndex=0&ccid=OPfQ%2bS3h&simid=608005553232479170&thid=OIP.M38f7d0f92de16e0e36b91b644ea52644o2	Nicole Kidman 2007		
Calvin Klein	https://www.bing.com/images/search?q=calvin+klein+red+carpet+oscars&view=detailv2&qft=+filterui%3aaspect-wide&id=A94CF6358463E66DFC17CE2BC6C3DC81B5B7E031&selectedIndex=65&ccid=kqN%2bXLkE&simid=608027582122296673&thid=OIP.M92a37e5cb904422cd20d528d058aba22o0	Saoirse Ronan 2016		
Carolina Herrera	https://www.bing.com/images/search?q=oscars+%22red+carpet%22+Carolina+Herrera&view=detailv2&qft=+filterui%3aaspect-wide&id=15FA6276B16499C78250B037BEBE2F23F28B877F&selectedIndex=32&ccid=fV85HP3i&simid=607987647520310338&thid=OIP.M7d5f391cfde22cef1209c0c386e5ae9bo0	Renee Zellwegger 2013		
Chanel Couture	https://www.bing.com/images/search?q=Oscars+%22red+carpet%22+Armani+Prive&view=detailv2&qft=+filterui%3aaspect-wide&id=1D60767C0FB08029A65523DBEBCF046C42035889&selectedIndex=4&ccid=WvgeD7Z8&simid=608006193188700379&thid=OIP.M5af81e0fb67c8aca8d9449e0143e8022H0	Penelope Cruz 2008		
christian Dior	https://www.bing.com/images/search?q=oscars+%22red+carpet%22+dior&view=detailv2&qft=+filterui%3aaspect-wide&id=4F85E40E6989EE8466320464B60D03B16ED6A327&selectedIndex=3&ccid=iA7Dsk5o&simid=608019498988408117&thid=OIP.M880ec3b24e68652516b112c65d278a2bo0	Jennifer Lawrence 2013		
Christian Lacroix	https://www.bing.com/images/search?q=oscars+red+carpet+christian+lacroix&view=detailv2&qft=+filterui%3aaspect-wide&id=24A5E5C345BC9954FA93EB0D40863D074E68619C&selectedIndex=20&ccid=Ubpu8C1N&simid=607989356917621417&thid=OIP.M51ba6ef02d4d95bc5fecaa88e702371ao2	Helen Mirren 2007		
Elie Saab	https://www.bing.com/images/search?q=red+carpet+oscars+halle+berry+2002&view=detailv2&qft=+filterui%3aaspect-wide&id=0886A4D4E18A4655B996DFAEB8C6753F3FC2688E&selectedIndex=5&ccid=%2feA8iKIr&simid=608013975664723953&thid=OIP.Mfde03c88a22ba6e82315bf8c88500953o0	Halle Berry 2002		
Givenchy	https://www.bing.com/images/search?q=givenchy+zoe+saldana+oscars&view=detailv2&qft=+filterui%3aaspect-wide&id=36F7E79AF4B27471A830CD6F009A70394BC1ED13&selectedIndex=23&ccid=jYQQeM55&simid=608045453486264198&thid=OIP.M8d841078ce79d6284a7b0409f0c39437o0	Zoe Saldana		
Gucci	https://www.bing.com/images/search?q=2016+brie+larson+oscars+red+carpet&view=detailv2&qft=+filterui%3aaspect-wide&id=031AD59AE961A968D360B4DFEB6E8D9714164368&selectedIndex=45&ccid=3cq4a4hf&simid=608016565524892584&thid=OIP.Mddcab86b885f72333aa78b7217df55fbo0	Brie Larson 2016		
Guy Laroche	https://www.bing.com/images/search?q=guy+laroche+oscars+%22red+carpet%22&view=detailv2&qft=+filterui%3aaspect-wide&id=C81735E6510500D5B1C89F5305AC5B2651D252EC&selectedIndex=9&ccid=HntNlcWC&simid=607994523762757147&thid=OIP.M1e7b4d95c58237ab665afb0aca549412o0	Hilary Swank 2005		
